"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_symbol","gene_name","significance"
2160.43536794007,8.66106091202118,1.23152231177783,7.03280876780711,2.024167114573e-12,7.75919094108648e-10,"ENSG00000142959","BEST4","bestrophin 4","Up"
10427.5661647993,-8.66181756026667,1.23938256972643,-6.98881666713985,2.77214379944116e-12,1.04462835750805e-09,"ENSG00000184557","SOCS3","suppressor of cytokine signaling 3","Down"
879.461467037324,5.38577703568648,0.778361119419822,6.9193808648882,4.53621783135464e-12,1.68089551740846e-09,"ENSG00000019505","SYT13","synaptotagmin 13","Up"
6319.44245131537,5.45416572910507,0.789899177345144,6.90488847885189,5.02428822075753e-12,1.83122950839512e-09,"ENSG00000188257","PLA2G2A","phospholipase A2 group IIA","Up"
892.053695774457,-4.33002551017366,0.62770900822979,-6.8981414212691,5.26872834870331e-12,1.85935932344001e-09,"ENSG00000111335","OAS2","2'-5'-oligoadenylate synthetase 2","Down"
1212.60810096781,-8.5332817186296,1.23676347737222,-6.89968767250507,5.21169952115019e-12,1.85935932344001e-09,"ENSG00000171051","FPR1","formyl peptide receptor 1","Down"
459.956606564154,5.43813063935717,0.791997158681276,6.86635119804216,6.5864809196621e-12,2.28808172323199e-09,"ENSG00000163687","DNASE1L3","deoxyribonuclease 1L3","Up"
398.090998582529,9.47831261944051,1.38186413441437,6.85907708535859,6.93068355249183e-12,2.3498979700282e-09,"ENSG00000145384","FABP2","fatty acid binding protein 2","Up"
287.207366626719,12.3004409033738,1.79355094763727,6.8581497055201,6.97581370133861e-12,2.3498979700282e-09,"ENSG00000187783","TMEM72","transmembrane protein 72","Up"
871.348317482782,4.58528392530059,0.674560279305457,6.79744133470431,1.06493490345029e-11,3.53383547886721e-09,"ENSG00000103056","SMPD3","sphingomyelin phosphodiesterase 3","Up"
37807.8681056033,7.48344636696128,1.1102722466794,6.74019042567511,1.58179183599008e-11,5.12429899701213e-09,"ENSG00000198788","MUC2","mucin 2, oligomeric mucus/gel-forming","Up"
103536.329585693,2.35377089497961,0.349254802157549,6.73940882255307,1.59032353165941e-11,5.12429899701213e-09,"ENSG00000198695","MT-ND6","NADH dehydrogenase subunit 6","Up"
7442.81726669228,-10.9058553818792,1.63088816970466,-6.68706511241306,2.2769059048146e-11,7.23177842596328e-09,"ENSG00000073756","PTGS2","prostaglandin-endoperoxide synthase 2","Down"
652.256497203206,6.33040823634078,0.947462526827979,6.68143389009212,2.36615517214802e-11,7.3740698970781e-09,"ENSG00000240498","CDKN2B-AS1","CDKN2B and CDKN2A antisense cis and trans regulatory RNA 1","Up"
147.796653506916,4.92773730088332,0.737675861421874,6.68008478871069,2.38804044703649e-11,7.3740698970781e-09,"ENSG00000256643",NA,NA,"Up"
98.0826967391501,4.93728654332078,0.742846512872235,6.64644237775397,3.0026191996141e-11,9.14482639246853e-09,"ENSG00000307857",NA,NA,"Up"
310.911900830181,6.42979162882721,0.970999819499668,6.62182577144073,3.54789090672303e-11,1.06594943958342e-08,"ENSG00000069764","PLA2G10","phospholipase A2 group X","Up"
495.845946787105,6.21700288908417,0.940317696229668,6.61159830769121,3.80192503889532e-11,1.12704265853013e-08,"ENSG00000133710","SPINK5","serine peptidase inhibitor Kazal type 5","Up"
1343.4454098684,-6.20524446836164,0.944997098079798,-6.5664164270668,5.15405522762617e-11,1.49245931406143e-08,"ENSG00000163734","CXCL3","C-X-C motif chemokine ligand 3","Down"
144.842808469282,6.31814944115426,0.962254045994924,6.56598895837491,5.16886462388027e-11,1.49245931406143e-08,"ENSG00000072133","RPS6KA6","ribosomal protein S6 kinase A6","Up"
1206.62371022021,13.3760532159482,2.04191916400439,6.55072612655072,5.72579830685105e-11,1.63207274046435e-08,"ENSG00000183034","OTOP2","otopetrin 2","Up"
2386.61864705223,2.99951510636153,0.459460721376739,6.52833847771299,6.6503276231401e-11,1.87160422842119e-08,"ENSG00000175164","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase","Up"
162.901537362547,-3.18383116097748,0.488373833067204,-6.51925010187711,7.0659752900924e-11,1.9637228578078e-08,"ENSG00000222009","BTBD19","BTB domain containing 19","Down"
801.26271666416,13.6203222355282,2.09267689166298,6.50856436069525,7.58724017145682e-11,2.08255692261728e-08,"ENSG00000115263","GCG","glucagon","Up"
540.702807727012,5.78225206027864,0.892101331545281,6.48160904576023,9.0749542670578e-11,2.46052997828654e-08,"ENSG00000148483","TMEM236","transmembrane protein 236","Up"
130.699320431262,5.86303172437784,0.905264899408677,6.47659235236846,9.38172041892638e-11,2.51305771173482e-08,"ENSG00000198515","CNGA1","cyclic nucleotide gated channel subunit alpha 1","Up"
438.511137366367,12.4703472372328,1.92665018276808,6.47255394298735,9.63601024172693e-11,2.55044542505137e-08,"ENSG00000174358","SLC6A19","solute carrier family 6 member 19","Up"
242.483889548662,5.48715836491515,0.848897778316777,6.46386232249927,1.02063740318057e-10,2.6575617480477e-08,"ENSG00000165269","AQP7","aquaporin 7","Up"
873.424073385866,9.66012243996548,1.49473211798692,6.4627783960216,1.02797782724824e-10,2.6575617480477e-08,"ENSG00000166183","ASPG","asparaginase","Up"
62.3637957867179,10.5470048498514,1.63267198195955,6.45996560631415,1.04726780572538e-10,2.67631093387269e-08,"ENSG00000162040","HS3ST6","heparan sulfate-glucosamine 3-sulfotransferase 6","Up"
2224.23456639027,9.88590566537879,1.53090823593166,6.45754293650564,1.06416565452663e-10,2.68859034057848e-08,"ENSG00000044012","GUCA2B","guanylate cyclase activator 2B","Up"
3050.90142849095,2.66231514736792,0.414387126367181,6.42470525256832,1.32125274244385e-10,3.26393469141712e-08,"ENSG00000181061","HIGD1A","HIG1 hypoxia inducible domain family member 1A","Up"
568.280303551812,7.38992223481246,1.15014215972998,6.42522506656692,1.31674549270468e-10,3.26393469141712e-08,"ENSG00000170298","LGALS9B","galectin 9B","Up"
3176.59767596823,4.0928109725385,0.639965714349733,6.39535975250985,1.60169796302725e-10,3.91324734197636e-08,"ENSG00000130821","SLC6A8","solute carrier family 6 member 8","Up"
