"","SRR36750771","SRR36750772","SRR36750775","SRR36750776","SRR36750778","SRR36750779","SRR36750780","SRR36750781","SRR36750783","SRR36750784"
"ENSG00000234851",346.79834625871,135.683680165824,156.284719901695,228.128005691136,179.45914082845,144.839758378478,228.366947842508,147.089184662707,174.440370284198,322.452698527786
"ENSG00000234742",262.239490226493,62.3707239471931,65.8458464560441,106.459735989197,109.306931231874,125.459790708118,197.226000409439,118.880299932873,72.0325907143703,54.7017970716781
"ENSG00000240809",11.7740179285364,4.37689290857495,7.13991106149876,0.950533357046399,4.07861683701022,3.05999489531995,4.71832536864687,1.00746016892265,4.33931269363676,2.87904195114095
"ENSG00000212327",3.21109579869176,2.18844645428748,2.37997035383292,1.9010667140928,8.97295704142248,4.07999319375993,1.88733014745875,7.05222118245855,8.67862538727353,0
"ENSG00000172752",0,5.47111613571869,0.79332345127764,3.8021334281856,0,0,3.77466029491749,1.00746016892265,1.73572507745471,10.0766468289933
"ENSG00000280417",5.35182633115293,13.1306787257249,12.6931752204422,3.8021334281856,4.89434020441226,7.13998808907989,2.83099522118812,4.0298406756906,4.33931269363676,8.63712585342285
"ENSG00000242142",6.42219159738351,1.09422322714374,0,7.60426685637119,3.26289346960818,0,2.83099522118812,0,3.47145015490941,5.7580839022819
"ENSG00000238267",1.07036526623059,0,0.79332345127764,0,0,3.05999489531995,0,4.0298406756906,7.81076284854618,2.87904195114095
"ENSG00000286689",2.14073053246117,10.9422322714374,7.9332345127764,2.8516000711392,4.89434020441226,8.15998638751987,7.54932058983499,5.03730084461325,1.73572507745471,0
"ENSG00000271964",42.8146106492234,6.56533936286243,34.9062318562161,39.9224009959488,8.97295704142248,12.2399795812798,3.77466029491749,14.1044423649171,24.3001510843659,28.7904195114095
"ENSG00000272498",20.3369400583811,1.09422322714374,0.79332345127764,0.950533357046399,5.71006357181431,3.05999489531995,6.60565551610561,3.02238050676795,1.73572507745471,4.31856292671143
"ENSG00000272529",108.106891889289,12.0364554985811,17.4531159281081,19.9612004979744,18.761637450247,26.5199557594396,22.647961769505,15.1119025338398,26.9037387005479,23.0323356091276
"ENSG00000287377",23.5480358570729,0,0.79332345127764,0,6.52578693921635,2.03999659687997,1.88733014745875,0,0.867862538727353,4.31856292671143
"ENSG00000248773",3.21109579869176,0,0.79332345127764,2.8516000711392,1.63144673480409,0,1.88733014745875,4.0298406756906,2.60358761618206,4.31856292671143
"ENSG00000188846",30384.4588124876,8214.33376616804,17146.0997524636,33695.4569739378,13422.7280106006,15570.2740256864,13043.3386490874,8940.2015390196,10164.4060535748,15353.9307254347
"ENSG00000199906",14.9851137272282,4.37689290857495,3.17329380511056,20.9117338550208,5.71006357181431,22.4399625656796,3.77466029491749,1.00746016892265,21.6965634681838,23.0323356091276
"ENSG00000234287",148.780772006051,37.2035897228871,23.7997035383292,53.2298679945983,74.230826433586,59.1599013095191,65.1128900873268,62.4625304732043,104.143504647282,174.182038044028
"ENSG00000222872",0,0,2.37997035383292,0,0.815723367402044,3.05999489531995,0.943665073729373,3.02238050676795,0,0
"ENSG00000243547",81.3477602335245,55.8053845843306,74.5724044200981,25.6644006402528,80.7566133728023,45.8999234297993,72.6622106771617,66.4923711488949,32.9787764716394,17.2742517068457
"ENSG00000080200",22.4776705908423,65.6533936286243,68.225816809877,14.258000355696,148.461652867172,72.4198791892388,130.225780174654,156.156326183011,59.01465263346,1.43952097557048
"ENSG00000157103",4.28146106492234,110.516545941518,25.3863504408845,0.950533357046399,23.6559776546593,6.1199897906399,0.943665073729373,12.0895220270718,7.81076284854618,1.43952097557048
"ENSG00000235670",2.14073053246117,0,0,2.8516000711392,2.44717010220613,0,0.943665073729373,1.00746016892265,2.60358761618206,11.5161678045638
"ENSG00000234737",6.42219159738351,1.09422322714374,0,0.950533357046399,2.44717010220613,0,0,2.0149203378453,0,0
"ENSG00000163606",393.894417972855,2.18844645428748,34.9062318562161,31.3676007825312,35.8918281656899,26.5199557594396,14.1549761059406,37.2760262501381,54.6753399398232,35.9880243892619
"ENSG00000273394",0,3.28266968143121,0.79332345127764,0.950533357046399,4.89434020441226,3.05999489531995,1.88733014745875,0,3.47145015490941,2.87904195114095
"ENSG00000287805",2.14073053246117,1.09422322714374,3.17329380511056,10.4558669275104,4.89434020441226,12.2399795812798,14.1549761059406,16.1193627027624,19.9608383907291,5.7580839022819
"ENSG00000285836",2.14073053246117,2.18844645428748,1.58664690255528,1.9010667140928,6.52578693921635,3.05999489531995,3.77466029491749,2.0149203378453,5.20717523236412,1.43952097557048
"ENSG00000203644",316.828118804253,83.1609652629241,175.324482732358,252.841872974342,87.2824003120187,117.299804320598,170.803378345017,110.820618581492,122.368617960557,155.468265361611
"ENSG00000170893",2.14073053246117,0,3.17329380511056,0,2.44717010220613,3.05999489531995,0,0,0,0
"ENSG00000144935",73.8552033699104,135.683680165824,25.3863504408845,16.1590670697888,10.6044037762266,7.13998808907989,5.66199044237624,39.2909465879834,50.3360272461865,23.0323356091276
"ENSG00000178053",44.9553411816846,137.872126620111,168.18457167086,319.37920796759,203.115118483109,180.539698823877,66.0565551610561,232.723299021132,88.52197895019,132.435929752484
"ENSG00000079257",111.317987687981,644.497480787662,545.806534479016,568.418947513747,296.107582366942,577.319036917031,849.298566356436,669.961012333563,558.035612401688,459.207191206982
"ENSG00000272609",0,5.47111613571869,3.17329380511056,0,0,0,0,0,1.73572507745471,0
"ENSG00000138231",403.527705368931,335.926530733128,333.989172987886,288.011607185059,275.714498181891,327.419453799235,343.494086837492,256.902343075276,185.722583287653,142.512576581477
"ENSG00000125046",26.7591316557646,43.7689290857495,90.4388734456509,9.50533357046399,28.5503178590715,21.4199642672397,51.9015790551155,23.171583885221,197.004796291109,71.9760487785238
