"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000227097",0.857950325281832,0.38592760499684,0.601874890705299,"NS",NA,NA
"ENSG00000182103",2.69959957730776,0.0969146210283561,0.264397716894775,"NS","FAM181B","family with sequence similarity 181 member B"
"ENSG00000277290",-0.916157069142871,0.524727401841892,0.713882286449075,"NS",NA,NA
"ENSG00000174885",-3.99563858188799,0.00511504888116454,0.040731691180133,"Down","NLRP6","NLR family pyrin domain containing 6"
"ENSG00000270972",-5.55699380715973,0.00735374318190292,0.0520511821816745,"NS",NA,NA
"ENSG00000255237",2.78329298674872,0.0638379894608476,0.204570484243734,"NS",NA,NA
"ENSG00000171204",-0.725552239370742,0.103264924772108,0.274693595651864,"NS","TMEM126B","transmembrane protein 126B"
"ENSG00000179071",0.825833416148791,0.480869289558887,0.681374535961998,"NS","CCDC89","coiled-coil domain containing 89"
"ENSG00000279742",1.72888882670333,0.428458920547388,0.638723828652948,"NS",NA,NA
"ENSG00000241782",0.167840581929248,0.900868873452347,0.949962894302126,"NS","RPL21P95","ribosomal protein L21 pseudogene 95"
"ENSG00000151364",-1.24450082727339,0.291127676394011,0.51103033769562,"NS","KCTD14","potassium channel tetramerization domain containing 14"
"ENSG00000241678",-2.18223322377891,0.170095755368929,0.372145141617535,"NS","RPL21P94","ribosomal protein L21 pseudogene 94"
"ENSG00000166341",-2.23096222977617,0.0133853881013093,0.0771187972799639,"NS","DCHS1","dachsous cadherin-related 1"
"ENSG00000261578",-0.0153059961605977,0.989200878341592,0.994434035457073,"NS",NA,NA
"ENSG00000254550",3.4645051795108,0.00324656007686672,0.0295822828643351,"Up","OMP","olfactory marker protein"
"ENSG00000279549",2.46101924294455,0.0989258785681485,0.267837917550776,"NS",NA,NA
"ENSG00000256591",-1.39950972274727,0.198791916048548,0.408705443823504,"NS",NA,NA
"ENSG00000204950",-2.07150488906606,0.180418071625797,0.386662327593632,"NS","LRRC10B","leucine rich repeat containing 10B"
"ENSG00000256443",1.05058868798929,0.567362084267074,0.745708843065019,"NS",NA,NA
"ENSG00000149480",-0.452198018264053,0.276788152641002,0.496377939657089,"NS","MTA2","metastasis associated 1 family member 2"
"ENSG00000149489",0.582097135698893,0.446528573966348,0.654341536052849,"NS","ROM1","retinal outer segment membrane protein 1"
"ENSG00000185085",0.0653136478318274,0.9177422365742,0.958707097014246,"NS","INTS5","integrator complex subunit 5"
"ENSG00000120471",3.57167489245266,0.0293681024719361,0.126733639193926,"NS","TP53AIP1","tumor protein p53 regulated apoptosis inducing protein 1"
"ENSG00000196954",-2.42807652900868,0.00129225707654838,0.0157484790929122,"Down","CASP4","caspase 4"
"ENSG00000255121",-0.496242257783967,0.5755317697994,0.751808244235956,"NS",NA,NA
"ENSG00000172367",4.67922798676766,8.19872996164093e-05,0.00200090409700508,"Up","NHERF4","NHERF family PDZ scaffold protein 4"
"ENSG00000254595",-1.81341691432375,0.108236029231625,0.282674925162307,"NS","LOC644169","voltage dependent anion channel 1 pseudogene"
"ENSG00000188211",-1.44806724959875,0.266115191035836,0.484723827814168,"NS","NCR3LG1","natural killer cell cytotoxicity receptor 3 ligand 1"
"ENSG00000248643",-0.546982382142575,0.53790232389948,0.724316325005947,"NS","RBM14-RBM4","RBM14-RBM4 readthrough"
"ENSG00000170790",2.5373584878035,0.224967276401578,0.438668431523968,"NS","OR10A2","olfactory receptor family 10 subfamily A member 2"
"ENSG00000180785",-3.27522150332426,0.0617052616272121,0.200485662812692,"NS","OR51E1","olfactory receptor family 51 subfamily E member 1"
"ENSG00000254997",3.3881133419373,0.0431884900672253,0.161325554379137,"NS","KRTAP5-9","keratin associated protein 5-9"
"ENSG00000288033",0.423271535113039,0.728990824660185,0.852182186480356,"NS",NA,NA
"ENSG00000167332",1.77144882365005,0.402572163413714,0.616375381115427,"NS","OR51E2","olfactory receptor family 51 subfamily E member 2"
"ENSG00000279837",-0.721111085034476,0.700065662696851,0.834203016332892,"NS",NA,NA
"ENSG00000179119",-1.03288272648591,0.047831524912694,0.171411717179872,"NS","SPTY2D1","SPT2 chromatin protein domain containing 1"
"ENSG00000213693",-2.6437830656009,0.0255374140396775,0.116547151335752,"NS","SEC14L1P1","SEC14 like 1 pseudogene 1"
"ENSG00000244953",-2.76653368862504,0.0673634206575443,0.21135431633473,"NS",NA,NA
"ENSG00000212607",-0.124976728904264,0.903397983068212,0.951210476543403,"NS","SNORA3B","small nucleolar RNA, H/ACA box 3B"
"ENSG00000149968",-8.14467111715831,5.30620718427079e-06,0.000231319420250769,"Down","MMP3","matrix metallopeptidase 3"
"ENSG00000262406",-3.4568281835638,0.00143796196209081,0.0170112924651657,"Down","MMP12","matrix metallopeptidase 12"
"ENSG00000019505",5.38577703568648,4.53621783135464e-12,1.68089551740846e-09,"Up","SYT13","synaptotagmin 13"
"ENSG00000177595",0.404897285716225,0.495262262403522,0.69261327714288,"NS","PIDD1","p53-induced death domain protein 1"
"ENSG00000048649",-0.680910905015241,0.152316296024929,0.347496327511399,"NS","RSF1","remodeling and spacing factor 1"
"ENSG00000167800",6.90399782608665,9.46263629873318e-09,1.27504722927112e-06,"Up","TBX10","T-box transcription factor 10"
"ENSG00000137727",-0.0268046574726454,0.987451570297811,0.993484060205957,"NS","ARHGAP20","Rho GTPase activating protein 20"
"ENSG00000182667",-2.50504766593052,0.110685685351078,0.286496789593763,"NS","NTM","neurotrimin"
"ENSG00000244398",0.271870639980187,0.683110199356997,0.823524541538418,"NS","RPL36AP37","ribosomal protein L36a pseudogene 37"
"ENSG00000272034",-0.468571020202647,0.47413900154345,0.675825902123062,"NS","SNORD14A","small nucleolar RNA, C/D box 14A"
"ENSG00000118096",0.342685887825178,0.556775836138345,0.738283364040307,"NS","IFT46","intraflagellar transport 46"
"ENSG00000255176",1.20411276130761,0.455197478274559,0.661291527344372,"NS",NA,NA
"ENSG00000214872",-2.94269919050178,0.0290570960505925,0.126177034471255,"NS","SMTNL1","smoothelin like 1"
"ENSG00000173338",0.435151558638159,0.741612526790139,0.859569977485411,"NS","KCNK7","potassium two pore domain channel subfamily K member 7"
"ENSG00000214787",3.14124624133259,0.00154996020633691,0.0178921418834312,"Up","MS4A4E","membrane spanning 4-domains A4E"
"ENSG00000165923",0.157602186032216,0.82068292735472,0.906375417211142,"NS","AGBL2","AGBL carboxypeptidase 2"
"ENSG00000082175",-0.340897908827945,0.83697032373385,0.916057375524453,"NS","PGR","progesterone receptor"
"ENSG00000110171",1.78960996232979,0.0314053817673611,0.131991654599951,"NS","TRIM3","tripartite motif containing 3"
"ENSG00000130598",-0.383435806436782,0.773670432292318,0.879442441901688,"NS","TNNI2","troponin I2, fast skeletal type"
"ENSG00000134571",-3.12789342927248,0.00517828169177273,0.0411150691393962,"Down","MYBPC3","myosin binding protein C3"
"ENSG00000166833",-0.0769913500274747,0.939716461211524,0.969364639823496,"NS","NAV2","neuron navigator 2"
"ENSG00000256745",0.493319723614978,0.441746869135703,0.650426957692846,"NS",NA,NA
"ENSG00000188486",-0.5931697827992,0.357943580343399,0.575091325791594,"NS","H2AX","H2A.X variant histone"
"ENSG00000134817",-1.50860018121241,0.253610147963373,0.470900301275973,"NS","APLNR","apelin receptor"
"ENSG00000185201",-3.54675514171165,0.000713987840651267,0.0101887622985877,"Down","IFITM2","interferon induced transmembrane protein 2"
"ENSG00000256006",-1.34581063208626,0.451866473469214,0.658647302474335,"NS",NA,NA
"ENSG00000173432",-6.70147527911777,0.00939616278367785,0.0616238605219793,"NS","SAA1","serum amyloid A1"
"ENSG00000110777",-1.94871406428848,0.143325404775515,0.334020306538159,"NS","POU2AF1","POU class 2 homeobox associating factor 1"
"ENSG00000151117",0.0168592612613,0.981382914255938,0.990491008754638,"NS","TMEM86A","transmembrane protein 86A"
"ENSG00000179057",-0.161663699084673,0.831463083553433,0.913110335225659,"NS","IGSF22","immunoglobulin superfamily member 22"
"ENSG00000166337",-0.893634343083483,0.0855318782300099,0.244143054138889,"NS","TAF10","TATA-box binding protein associated factor 10"
"ENSG00000150750",3.25137589588541,0.0385389768163964,0.15037505643365,"NS","POU2AF2","POU class 2 homeobox associating factor 2"
"ENSG00000214290",3.0200782990057,0.0542591641167977,0.185505765924768,"NS","POU2AF3","POU class 2 homeobox associating factor 3"
"ENSG00000173456",-0.349429336987519,0.513224932210681,0.705096134469997,"NS","RNF26","ring finger protein 26"
"ENSG00000260877",-0.843444612916265,0.533797567014698,0.720928277696379,"NS",NA,NA
"ENSG00000160683",-6.26579772688167,0.0722578080949773,0.220552733682132,"NS","CXCR5","C-X-C motif chemokine receptor 5"
"ENSG00000110375",-6.00203034776515,0.0372933882300582,0.147298850836195,"NS","UPK2","uroplakin 2"
"ENSG00000166840",0.487002482114739,0.729823146360603,0.852587043552992,"NS","GLYATL1","glycine-N-acyltransferase like 1"
"ENSG00000255274",-3.05987750074505,0.0120405552096714,0.0723116326246958,"NS","SMIM35","small integral membrane protein 35"
"ENSG00000254676",-2.46433170923036,0.0936042865328328,0.258490138179663,"NS",NA,NA
"ENSG00000247595",1.35624604909466,0.160304931602036,0.358629457064608,"NS","MISFA","mitochondrial sheath formation associated"
"ENSG00000162194",-0.588744610655419,0.388017957132372,0.60386414958169,"NS","LBHD1","LBH domain containing 1"
"ENSG00000007372",2.21062821416693,0.217139384538494,0.429507111783303,"NS","PAX6","paired box 6"
"ENSG00000033327",-0.371341234022427,0.549605279422898,0.732410390293028,"NS","GAB2","GRB2 associated binding protein 2"
"ENSG00000183734",-1.59881865030392,0.267982698090327,0.486539485583822,"NS","ASCL2","achaete-scute family bHLH transcription factor 2"
"ENSG00000244313",2.11908308126553,0.206936585348149,0.417148319617475,"NS",NA,NA
"ENSG00000204361",4.38034077023764,8.48452708238367e-05,0.00204817036506662,"Up","NXPE2","neurexophilin and PC-esterase domain family member 2"
"ENSG00000168061",0.85346934388515,0.305100008872575,0.525388312079929,"NS","SAC3D1","SAC3 domain containing 1"
"ENSG00000168060",2.15848795328965,0.00244545579152031,0.0245129930626109,"Up","NAALADL1","N-acetylated alpha-linked acidic dipeptidase like 1"
"ENSG00000146670",-1.55158833598153,0.0275736271022069,0.121863647658225,"NS","CDCA5","cell division cycle associated 5"
"ENSG00000187066",1.94346912537493,0.124678567752414,0.307178479259688,"NS","CATSPERH","catsper channel auxiliary subunit eta"
"ENSG00000174276",0.884099590833818,0.293447461477318,0.513152226759888,"NS","ZNHIT2","zinc finger HIT-type containing 2"
"ENSG00000278952",-2.85175002614941,0.104009711719082,0.275849686347411,"NS",NA,NA
"ENSG00000254614",1.106117333941,0.172599733283671,0.375921813293089,"NS","CAPN1-AS1","CAPN1 antisense RNA 1"
"ENSG00000070985",5.37514638651407,1.16990214144855e-08,1.52107802987285e-06,"Up","TRPM5","transient receptor potential cation channel subfamily M member 5"
"ENSG00000179532",-0.594229385941628,0.251097820471138,0.468186669115633,"NS","DNHD1","dynein heavy chain domain 1"
"ENSG00000175352",-3.81808029701335,0.00627935555623594,0.0467231968145227,"Down","NRIP3","nuclear receptor interacting protein 3"
"ENSG00000134627",0.990640356366535,0.156942890904257,0.354029149094395,"NS","PIWIL4","piwi like RNA-mediated gene silencing 4"
"ENSG00000196371",-0.383513943244505,0.631870610809621,0.790691417676421,"NS","FUT4","fucosyltransferase 4"
"ENSG00000204710",1.76446818694545,0.35911564663557,0.575646587717998,"NS","SPDYC","speedy/RINGO cell cycle regulator family member C"
"ENSG00000110400",1.93555898211724,0.0358393372773613,0.143673996698084,"NS","NECTIN1","nectin cell adhesion molecule 1"
"ENSG00000182208",1.22859395901498,0.0509495090699075,0.178504953202981,"NS","MOB2","MOB kinase activator 2"
"ENSG00000185940",4.17175657582143,0.00466219982749729,0.0380943361869707,"Up","KRTAP5-5","keratin associated protein 5-5"
"ENSG00000186280",-1.94019647048104,0.172158573296184,0.375169850240903,"NS","KDM4D","lysine demethylase 4D"
"ENSG00000263465",0.296350373207116,0.543854790466613,0.72886094378645,"NS","SRSF8","serine and arginine rich splicing factor 8"
"ENSG00000149212",-2.43303720203975,0.00589261365159385,0.0448358929896941,"Down","SESN3","sestrin 3"
"ENSG00000166349",-0.223442820821793,0.782961138103801,0.884441366906911,"NS","RAG1","recombination activating 1"
"ENSG00000173653",0.889705047809314,0.113199608742493,0.290318018361039,"NS","RCE1","Ras converting CAAX endopeptidase 1"
"ENSG00000173237",7.0161153442559,1.6999324552578e-07,1.39463462279508e-05,"Up","C11orf86","chromosome 11 open reading frame 86"
"ENSG00000137700",1.17351777843974,0.0270546963524551,0.120645090196485,"NS","SLC37A4","solute carrier family 37 member 4"
"ENSG00000285816",-5.35977884286894,0.00929008624130997,0.0611989592305318,"NS",NA,NA
"ENSG00000275022",-2.94700886279823,0.0265590040671218,0.119193850913266,"NS","MIR6753","microRNA 6753"
