"","Villous","Tubular","EarlyStage","Advanced"
"1020",1,0,0,0
"1021",1,1,1,0
"1022",1,0,0,0
"1023",1,1,1,1
"1024",1,0,0,0
"1025",1,1,1,1
"1026",1,1,1,1
"1027",1,1,1,1
"1028",1,0,1,1
"1029",1,1,1,1
"1030",1,0,1,1
"1031",1,1,1,1
"1032",1,1,1,1
"1033",1,1,1,1
"1034",1,0,0,0
"1035",1,0,1,1
"1036",1,0,0,0
"1037",1,1,1,1
"1038",1,1,1,0
"1039",1,1,1,1
"1040",1,1,1,0
"1041",1,1,1,1
"1042",1,0,0,1
"1043",1,1,1,1
"1044",1,0,1,1
"1045",1,1,1,1
"1046",1,0,1,1
"1047",1,1,1,1
"1048",1,1,1,1
"1049",1,0,1,1
"1050",1,0,1,1
"1051",1,1,1,1
"1052",1,1,1,1
"1053",1,0,1,1
"1054",1,1,1,1
"1055",1,1,1,1
"1056",1,1,1,1
"1057",1,1,1,1
"1058",1,0,0,1
"1059",1,1,1,0
"1060",1,1,1,1
"1061",1,1,1,1
"1062",1,0,0,0
"1063",1,1,1,1
"1064",1,1,1,1
"1065",1,1,1,1
"1066",1,1,1,1
"1067",1,1,1,1
"1068",1,0,1,1
"1069",1,1,1,1
"1070",1,1,0,0
"1071",1,1,1,1
"1072",1,1,1,1
"1073",1,1,1,0
"1074",1,1,1,1
"1075",1,1,1,1
"1076",1,1,1,1
"1077",1,1,1,0
"1078",1,0,0,1
"1079",1,0,0,0
"1080",1,1,1,1
"1081",1,1,1,1
"1082",1,0,1,1
"1083",1,1,1,1
"1084",1,0,1,1
"1085",1,1,1,1
"1086",1,0,1,1
"1087",1,1,1,1
"1088",1,1,1,1
"1089",1,1,1,1
"1090",1,0,0,0
"1091",1,1,0,0
"1092",1,1,1,1
"1093",1,1,1,1
"1094",1,0,1,1
"1095",1,1,1,0
"1096",1,1,1,0
"1097",1,1,1,0
"1098",1,1,1,1
"1099",1,1,1,1
"1100",1,1,1,1
"1101",1,1,1,1
"1102",1,1,1,1
"1103",1,0,1,1
"1104",1,1,1,1
"1105",1,1,1,1
"1106",1,1,1,1
"1107",1,1,1,1
"1108",1,1,0,1
"1109",1,1,0,1
"1110",1,1,0,0
"1111",1,1,1,1
"1112",1,1,1,1
"1113",1,1,1,1
"1114",1,1,1,1
"1115",1,1,1,1
"1116",1,1,1,0
"1117",1,1,1,1
"1118",1,1,1,1
"1119",1,1,0,0
"1120",1,0,1,1
"1121",1,1,1,1
"1122",1,1,0,0
"1123",1,1,1,1
"1124",1,1,1,1
"1125",1,1,1,1
"1126",1,0,1,1
"1127",1,0,1,1
"1128",1,1,1,1
"1129",1,1,1,1
"1130",1,0,1,1
"1131",1,1,0,0
"1132",1,1,1,1
"1133",1,0,1,0
"1134",1,0,1,1
"1135",1,0,0,1
"1136",1,0,0,1
"1137",1,1,1,1
"1138",1,1,1,0
"1139",1,0,1,1
"1140",1,1,1,0
"1141",1,1,1,1
"1142",1,0,1,1
"1143",1,1,0,1
"1144",1,1,1,1
