"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000166257",0.529651877192814,0.716626465838014,1,"NS","SCN3B","sodium voltage-gated channel beta subunit 3"
"ENSG00000165912",0.183735027369797,0.861064373243947,1,"NS","PACSIN3","protein kinase C and casein kinase substrate in neurons 3"
"ENSG00000175592",2.36395162567859,0.0485412337705264,1,"NS","FOSL1","FOS like 1, AP-1 transcription factor subunit"
"ENSG00000166250",0.383135533748861,0.723189267766521,1,"NS","CLMP","CXADR like cell adhesion molecule"
"ENSG00000160613",-0.599043177471604,0.196663209717603,1,"NS","PCSK7","proprotein convertase subtilisin/kexin type 7"
"ENSG00000151376",-0.0682967967616608,0.94374805195241,1,"NS","ME3","malic enzyme 3"
"ENSG00000135373",-0.804248699308137,0.433540973168181,1,"NS","EHF","ETS homologous factor"
"ENSG00000137648",-0.264606808827354,0.744373460532924,1,"NS","TMPRSS4","transmembrane serine protease 4"
"ENSG00000173599",0.471787674796032,0.372171385801864,1,"NS","PC","pyruvate carboxylase"
"ENSG00000137693",-0.911009900858179,0.41006533106005,1,"NS","YAP1","Yes1 associated transcriptional regulator"
"ENSG00000118369",-0.875278780332596,0.17969811926175,1,"NS","USP35","ubiquitin specific peptidase 35"
"ENSG00000173020",0.493944677244511,0.517364416166316,1,"NS","GRK2","G protein-coupled receptor kinase 2"
"ENSG00000174915",0.339375670639428,0.644149052775875,1,"NS","PTDSS2","phosphatidylserine synthase 2"
"ENSG00000168000",-0.417430997379536,0.654545854894544,1,"NS","BSCL2","BSCL2 lipid droplet biogenesis associated, seipin"
"ENSG00000110768",-0.56365338644594,0.140659127005043,1,"NS","GTF2H1","general transcription factor IIH subunit 1"
"ENSG00000162188",-1.08914515635804,0.142747937348696,1,"NS","GNG3","G protein subunit gamma 3"
"ENSG00000184545",1.10980169847307,0.0817904049225314,1,"NS","DUSP8","dual specificity phosphatase 8"
"ENSG00000182919",-0.293418941255271,0.581641471563288,1,"NS","BKGD","beta-keto-L-gulonate decarboxylase"
"ENSG00000166333",-0.716316104729506,0.369369994152736,1,"NS","ILK","integrin linked kinase"
"ENSG00000110324",0.960034231610158,0.352821408085022,1,"NS","IL10RA","interleukin 10 receptor subunit alpha"
"ENSG00000110446",0.110801730282139,0.870219828922003,1,"NS","SLC15A3","solute carrier family 15 member 3"
"ENSG00000167323",0.23215346916871,0.674498699904509,1,"NS","STIM1","stromal interaction molecule 1"
"ENSG00000110651",0.904630521654218,0.193490908662392,1,"NS","CD81","CD81 molecule"
"ENSG00000151498",-0.154659579190486,0.646497146020602,1,"NS","ACAD8","acyl-CoA dehydrogenase family member 8"
"ENSG00000150455",-0.630768279867693,0.0998122246671491,1,"NS","TIRAP","TIR domain containing adaptor protein"
